,Growth,Low Risk,Low Size,Momentum,Value,Quality Income
2019-03-27,3049.303497847985,2567.2308889428073,4125.058255177561,6877.2988703837,4920.964833816757,2818.4879033935763
2019-03-28,3069.8448251730883,2584.6234317142357,4156.746968858501,6925.586619834652,4934.069857883382,2818.7907510395407
2019-03-29,3098.2190070904867,2601.1154698650816,4172.7772474150115,6968.000336133486,4972.00375187087,2832.30329252925
2019-04-01,3129.886372375283,2616.84936563929,4247.573862202884,7019.839790637277,5074.827790308627,2852.710830258957
2019-04-02,3133.5422316888444,2619.4494504460395,4235.000714551619,7011.41106151636,5052.220562167068,2851.753681238007
2019-04-03,3152.001603542111,2624.133336866459,4266.884585363253,7029.167484743087,5095.161137733208,2840.9369247088866
2019-04-04,3152.022921132203,2620.3659473971093,4309.969588832498,7027.756324201646,5139.636738422279,2846.401812181022
2019-04-05,3173.017562738547,2631.2007027121113,4342.799731211544,7068.348044130441,5180.553719967499,2871.4123070901974
2019-04-08,3172.1518792817055,2632.728447775793,4348.162399073602,7062.143345363984,5186.482803665609,2871.971911902301
2019-04-09,3156.1492065990205,2621.670860431779,4281.486449481447,7017.905532679134,5116.718268089037,2855.9778518483417
2019-04-10,3182.796309196773,2630.614556838463,4320.521021083024,7079.713181248397,5166.937441990742,2865.4783074922843
2019-04-11,3186.645504315595,2632.228693153876,4328.921525589669,7092.046312891337,5178.20173825512,2872.7017146394546
2019-04-12,3200.219169677133,2648.342633174122,4375.196927408221,7115.262344049031,5238.1697350059485,2881.7725013669474
2019-04-15,3202.925460031524,2649.0131016800083,4358.042503984283,7109.081299053893,5221.341387690903,2881.229810609915
2019-04-16,3185.8085973252078,2633.7665242685334,4373.1252604318,7076.319636149267,5241.739771116344,2879.671291793166
2019-04-17,3160.5616751695734,2611.8040942788944,4356.2727017084535,7004.34425933373,5231.254092988012,2868.1216820035156
2019-04-18,3165.59191616823,2620.149199866838,4369.0281019251615,7015.590266049851,5244.86306966447,2864.780273152482
2019-04-19,3165.59191616823,2620.149199866838,4369.0281019251615,7015.590266049851,5244.86306966447,2864.780273152482
2019-04-22,3161.3339053628865,2616.363109920128,4337.599447041141,7000.8720551031,5206.368871281261,2870.6563679425767
2019-04-23,3201.6111453932117,2638.831137286463,4383.181896448161,7072.424717659858,5254.688286889452,2873.680846478932
2019-04-24,3202.23195439916,2644.452491238958,4383.250590920025,7080.658925788624,5249.073120892009,2862.4208807863833
2019-04-25,3201.073419618927,2641.5220838286136,4316.661276660508,7054.627215272825,5198.655047976754,2842.86912970287
2019-04-26,3224.5085668162014,2661.1115185516246,4351.265897681735,7101.975392743958,5230.378680138695,2851.6194015881993
2019-04-29,3226.022073255544,2652.9600296863255,4355.309809439591,7082.064466348887,5243.589895349159,2848.05120565942
2019-04-30,3229.908455793136,2667.9435956891475,4349.7174581895915,7109.351643686908,5253.40142939673,2866.6583185838385
2019-05-01,3197.457951771329,2642.019070832528,4304.085719573903,7020.029684112116,5204.528712754068,2834.4477487792587
2019-05-02,3193.9893628585055,2645.741164696979,4286.267365166453,7056.104304062484,5185.0938615534205,2826.943109256613
2019-05-03,3228.7396048561773,2667.1350318810723,4335.109271800531,7118.247146184391,5229.827798337359,2854.4745262785914
2019-05-06,3222.2518898761423,2662.54588344712,4302.721974290724,7104.643115851445,5197.427217673468,2837.944012448757
2019-05-07,3168.919087231308,2620.392114906314,4237.218980928578,6997.25471783038,5100.924256454758,2815.324767904314
2019-05-08,3168.9935455739787,2622.5232141852166,4218.5729731260235,7003.22405252483,5077.661371148119,2796.9956320639467
2019-05-09,3168.8605461345865,2621.963310299053,4208.754852417445,7005.412011119936,5063.2098535818905,2783.9966607419087
2019-05-10,3181.9970494706004,2637.0669608319768,4223.98709146235,7044.417135126048,5057.991439133917,2803.2438453455175
2019-05-13,3087.705293700387,2585.9422920443844,4098.358036220321,6900.413305660522,4884.569708405729,2773.883160784901
2019-05-14,3124.4996661038927,2605.757910966399,4146.455517378796,6962.861609030702,4944.860413503013,2781.0121867264083
2019-05-15,3140.057093843061,2625.121784248057,4166.681008816173,6990.253180976639,4953.832923974966,2793.7966465450545
2019-05-16,3174.4293788940136,2653.237668500429,4181.513356541897,7047.839256333492,4971.501782984074,2803.6503501161883
2019-05-17,3152.312506876934,2641.3337620333837,4139.872086625156,7024.00569693054,4920.341456722415,2795.9410519768576
2019-05-20,3127.4571837997337,2622.812467455075,4110.850069552899,6977.369282435259,4886.9475157326,2785.8603544251905
2019-05-21,3166.594778901042,2643.7246651488804,4173.789553532968,7043.256269238251,4952.287720913589,2802.144860787124
2019-05-22,3153.573084616348,2647.3985639806974,4124.632987740218,7038.797570968089,4885.8344830626575,2789.4303454262126
2019-05-23,3109.275673096463,2628.858745063168,4058.371418305156,6955.803910068036,4800.929348163875,2775.5512399936515
2019-05-24,3114.608892435789,2634.563664538606,4066.8834340375506,6956.285365087868,4820.790814661978,2772.9406639062586
2019-05-27,3114.608892435789,2634.563664538606,4066.8834340375506,6956.285365087868,4820.790814661978,2772.9406639062586
2019-05-28,3090.593032602354,2612.520329756691,4023.2250778562493,6905.73502373826,4765.937121387665,2721.373391988285
2019-05-29,3055.9293613325763,2594.3561052690798,3990.8301272577132,6833.630563954476,4724.245793398311,2696.58434006444
2019-05-30,3070.1724710051935,2616.1954377378142,3968.5714042852587,6880.773647717835,4698.691046227407,2691.226022165471
2019-05-31,3033.852008018184,2602.768016329568,3903.7013353183156,6826.365284763923,4601.8097960770565,2658.077569904088
2019-06-03,3021.4020329027853,2602.3734327663865,3958.2388149786198,6859.524939805841,4665.282330056173,2693.577402109953
2019-06-04,3095.3359115103235,2643.888277818534,4073.0817656363597,6981.216132315315,4822.447805929424,2730.180422139627
2019-06-05,3120.0081657727774,2679.757234106103,4070.967659681263,7067.745728260727,4808.210293061023,2743.029821596516
2019-06-06,3128.826679025481,2694.9921247173143,4068.660629181372,7113.41209759954,4817.189182701688,2757.1080328711987
2019-06-07,3156.6280195951213,2721.9824019703105,4085.6698767700855,7170.577452868595,4835.297056542471,2771.2124126388103
2019-06-10,3170.172912372338,2727.250173109614,4103.048929358701,7183.11202367291,4870.120230397334,2762.8835103311676
2019-06-11,3159.290265779466,2717.8450577438916,4107.582462066635,7178.608068426166,4881.723782342362,2775.1095208957818
2019-06-12,3158.6729404786297,2725.0858628972837,4080.0099831179436,7201.293918960013,4838.139678677547,2778.8243730990557
2019-06-13,3175.9488219474124,2727.478255553659,4132.248084086829,7225.000220953297,4898.233449869673,2795.0715764849947
2019-06-14,3164.7955428711202,2726.422250002101,4098.14250815188,7214.333235545547,4858.115285423199,2794.5582860538516
2019-06-17,3171.5280076216864,2723.5356936009703,4095.931745750061,7203.737096402831,4845.978528826309,2794.9078020002803
2019-06-18,3196.309697989614,2737.0805781910635,4152.676032172416,7262.420167484286,4929.240356615775,2811.818541882242
2019-06-19,3212.5742136553654,2757.371114484993,4159.801597916577,7310.723176958382,4943.27248482018,2819.038410283865
2019-06-20,3237.9833642067842,2777.2524033174977,4197.939901164354,7368.376586442473,5001.361705076455,2843.4622033819405
2019-06-21,3226.1825245959285,2765.4570855307707,4183.878619414459,7332.438038640728,4992.379838568561,2856.3452653990184
2019-06-24,3202.5199001392034,2761.3189062281936,4147.26381260401,7306.435861355186,4955.90470403958,2834.4172832772647
2019-06-25,3168.229398806436,2742.362463712714,4123.835420924674,7259.6262148754495,4939.7216360798,2802.6708430722115
2019-06-26,3151.8375086592973,2716.497470073353,4140.689174024679,7203.503842429379,4977.701268115877,2778.8100956284716
2019-06-27,3180.015014003756,2735.640106833428,4184.793267365262,7250.517195166503,5030.551951227657,2790.1617544944
2019-06-28,3213.574328277192,2754.2858358666563,4240.527044732956,7315.638292626495,5087.705611645195,2810.61188036732
2019-07-01,3237.2702156635105,2774.706254504267,4261.4776955069365,7365.093767268266,5130.0319471416005,2819.1732940576317
2019-07-02,3238.9894251725195,2787.740232141073,4235.055057299167,7393.384353734258,5093.124987369853,2832.4164797743533
2019-07-03,3270.7476750624055,2816.426165304097,4278.820460900372,7466.315163341631,5137.089746982086,2853.8119060028707
2019-07-04,3270.7476750624055,2816.426165304097,4278.820460900372,7466.315163341631,5137.089746982086,2853.8119060028707
2019-07-05,3270.3366422013437,2810.136043638528,4284.541099779371,7453.44613017956,5143.285224758843,2842.4325676852527
2019-07-08,3251.784048918537,2801.9399586857962,4246.5238621090175,7433.746694262179,5104.1433956418805,2831.4893899889457
2019-07-09,3267.2164399275516,2806.8005642891017,4237.023104125971,7448.852793034801,5094.768265608575,2826.8387774076627
2019-07-10,3274.73985242189,2815.3000881317926,4235.918595301124,7460.040495317015,5087.5890711997745,2835.0946482242316
2019-07-11,3287.0363939898125,2818.7288347293083,4218.146537584628,7457.405380516957,5101.239974723893,2829.4117218739852
2019-07-12,3308.811405489742,2826.232669283114,4272.076812677183,7507.472306267921,5169.902294844207,2836.1887688144575
2019-07-15,3307.4573303584757,2829.7512849986824,4262.417771357607,7518.826414472225,5153.625835810121,2842.2893302900866
2019-07-16,3297.226238452705,2824.2092559645653,4272.809858406516,7507.929107742645,5150.905551808719,2836.49183189933
2019-07-17,3281.074802860711,2818.1727877769595,4215.078564889133,7453.730283773414,5083.243108530793,2817.4706456036206
2019-07-18,3286.2862479384007,2829.3921685660425,4227.846265467846,7482.92699169355,5106.497051839775,2832.4231360384456
2019-07-19,3270.167182201966,2802.7319793247993,4223.967665091638,7416.321368725961,5115.917465282955,2818.3189282321723
2019-07-22,3270.665890319627,2807.236398436767,4218.701022071801,7408.872918283679,5112.6496757858995,2813.0723271546563
2019-07-23,3279.455717747636,2819.676173348457,4276.764920394002,7446.349498428615,5178.3329700531085,2820.9048205104323
2019-07-24,3310.8178251233176,2826.0674791385673,4326.884461343563,7486.4912432068895,5242.928380931031,2836.9572532078328
2019-07-25,3280.1661225988646,2816.82295078872,4286.006338084674,7459.239446865996,5194.595786737369,2837.947313198508
2019-07-26,3313.4637759258558,2837.695372558552,4305.976385448241,7505.208052432138,5219.170657180064,2848.3629809615254
2019-07-29,3289.833536468118,2837.3645325212015,4289.331616663648,7484.92198986887,5210.674649060491,2842.7426300244065
2019-07-30,3287.5362961188207,2833.047963661514,4312.677173879274,7457.390411160971,5233.664004946904,2835.1193760685937
2019-07-31,3262.0291936773915,2807.1616740094682,4282.195165229949,7375.646860610378,5171.690157798547,2814.2405319450254
2019-08-01,3222.8699824437826,2788.846503033305,4172.276319670956,7328.040251895659,5055.1716893959865,2808.494220468009
2019-08-02,3190.8515877063264,2773.134947532462,4133.357996891413,7284.38671769075,4992.411068748877,2788.221599505584
2019-08-05,3093.0337560363937,2695.0482802087286,4014.82865060248,7115.328534249335,4841.831784632042,2712.6964378382363
2019-08-06,3139.9415120392155,2741.1429054748696,4045.9921451164396,7226.5238235971565,4875.131077595043,2734.795087005318
